GameID,GameVersion,BlueSideWin,BlueTopName,BlueTopSide,BlueTopRank,BlueTopDivision,BlueTopRole,BlueTopChampID,BlueTopWinrate,BlueTopWinStreak,BlueJungleName,BlueJungleSide,BlueJungleRank,BlueJungleDivision,BlueJungleRole,BlueJungleChampID,BlueJungleWinrate,BlueJungleWinStreak,BlueMidName,BlueMidSide,BlueMidRank,BlueMidDivision,BlueMidRole,BlueMidChampID,BlueMidWinrate,BlueMidWinStreak,BlueADCName,BlueADCSide,BlueADCRank,BlueADCDivision,BlueADCRole,BlueADCChampID,BlueADCWinrate,BlueADCWinStreak,BlueSupportName,BlueSupportSide,BlueSupportRank,BlueSupportDivision,BlueSupportRole,BlueSupportChampID,BlueSupportWinrate,BlueSupportWinStreak,RedTopName,RedTopSide,RedTopRank,RedTopDivision,RedTopRole,RedTopChampID,RedTopWinrate,RedTopWinStreak,RedJungleName,RedJungleSide,RedJungleRank,RedJungleDivision,RedJungleRole,RedJungleChampID,RedJungleWinrate,RedJungleWinStreak,RedMidName,RedMidSide,RedMidRank,RedMidDivision,RedMidRole,RedMidChampID,RedMidWinrate,RedMidWinStreak,RedADCName,RedADCSide,RedADCRank,RedADCDivision,RedADCRole,RedADCChampID,RedADCWinrate,RedADCWinStreak,RedSupportName,RedSupportSide,RedSupportRank,RedSupportDivision,RedSupportRole,RedSupportChampID,RedSupportWinrate,RedSupportWinStreak
CIwPbX19FDc5PLbLNgjbljzG4PzO9XMA9mJLqW9rNv0=,14.22.633.1362,True,ultragamer#51442,BLUE,UNRANKED,0,TOP,75,51.06,False,gg LennyS#NA1,BLUE,UNRANKED,0,JUNGLE,106,0,False,Vicuna277#1236,BLUE,UNRANKED,0,MID,777,47.14,False,dmejryp#NA1,BLUE,UNRANKED,0,ADC,67,0,False,Crab#krab,BLUE,UNRANKED,0,SUPPORT,161,52.67,False,NinkiMinjaaj#NA1,RED,UNRANKED,0,TOP,86,50.0,False,Zagh#NA1,RED,UNRANKED,0,JUNGLE,154,57.69,True,Ignytic#NA1,RED,UNRANKED,0,MID,799,0,False,Adhawkins#NA1,RED,PLATINUM,3,ADC,81,0,False,APoetCalledLove#NA1,RED,IRON,4,SUPPORT,147,60.87,False
CIwPbX19FDfeDQvWTtpQSAjgmuLqFYD-Q0JyYEQqOss=,14.22.633.1362,True,NinkiMinjaaj#NA1,BLUE,IRON,1,TOP,86,50.0,False,GayStuff#NA1,BLUE,BRONZE,3,JUNGLE,121,50.27,False,Trinibad868#NA1,BLUE,BRONZE,3,MID,134,45.74,False,Ecgtheow#NA1,BLUE,IRON,2,ADC,17,50.0,False,Bonita Wilcox#NA1,BLUE,BRONZE,2,SUPPORT,99,61.11,False,ahappytubofcats#NA1,RED,SILVER,4,TOP,122,69.23,False,Hocho Maniac#NA1,RED,BRONZE,4,JUNGLE,35,59.68,False,qUEEfY#YRN,RED,BRONZE,4,MID,91,51.16,False,drmc#1328,RED,IRON,4,ADC,21,50.74,False,rustbound#11111,RED,BRONZE,3,SUPPORT,111,52.13,False
CIwPbX19FDe4btZwco2uE2cA5BW30W5UIS3z62jEItc=,14.22.633.1362,True,mezolator#J S,BLUE,SILVER,4,TOP,429,50.0,False,CosmicUHH#1286,BLUE,BRONZE,4,JUNGLE,20,42.86,False,DVMA#omie,BLUE,IRON,2,MID,103,50.69,False,PekoFan#NA1,BLUE,BRONZE,4,ADC,202,47.31,False,InterFoSho#74083,BLUE,BRONZE,4,SUPPORT,17,46.67,False,BeforeMosesWas#IAM,RED,BRONZE,1,TOP,36,39.47,False,itsdabigD1lf#1987,RED,BRONZE,2,JUNGLE,234,49.0,False,asdfpigman#083,RED,IRON,4,MID,711,47.62,False,buni J#NA1,RED,BRONZE,3,ADC,81,35.71,False,NinkiMinjaaj#NA1,RED,IRON,1,SUPPORT,526,50.0,False
CIwPbX19FDewm6CgBRK72KSi-7EAK97gzoaW7D9fDEE=,14.22.633.1362,True,Hexchem#NA1,BLUE,BRONZE,2,TOP,83,46.3,False,Rain Of Madness#NA1,BLUE,UNRANKED,0,JUNGLE,56,0,False,Ionic Infusion#NA1,BLUE,BRONZE,4,MID,517,47.83,False,ShakeDaBed#NA1,BLUE,BRONZE,2,ADC,110,58.18,False,RollingGolem#556,BLUE,UNRANKED,0,SUPPORT,53,57.14,False,Overnaflashh#9977,RED,BRONZE,4,TOP,518,36.36,False,Gamoli#7454,RED,BRONZE,1,JUNGLE,19,44.93,True,Grymmble#NA1,RED,BRONZE,4,MID,74,28.57,False,JGLTRIX#NA1,RED,BRONZE,2,ADC,901,33.33,False,NinkiMinjaaj#NA1,RED,IRON,1,SUPPORT,526,50.0,False
CIwPbX19FDezpMF4ykh_V5BgKeDmuMPen1EUbgJcWuI=,14.22.633.1362,False,C00KIE D00KIE#NA1,BLUE,BRONZE,4,TOP,74,52.08,False,FĄILEDAB0RTI0N#069,BLUE,BRONZE,3,JUNGLE,11,49.41,True,LatinPsycho#2023,BLUE,BRONZE,4,MID,90,58.62,False,MOONsubxd#NA1,BLUE,BRONZE,3,ADC,119,55.26,False,Skywon#7844,BLUE,BRONZE,3,SUPPORT,147,48.28,False,19KingRagnar#NA1,RED,BRONZE,4,TOP,240,50.0,False,Robert Johnson#8215,RED,BRONZE,3,JUNGLE,131,45.4,False,very okay#NA1,RED,BRONZE,2,MID,134,50.65,False,T1 Benny#WORLD,RED,BRONZE,3,ADC,96,47.56,False,NinkiMinjaaj#NA1,RED,IRON,1,SUPPORT,526,50.0,False
CIwPbX19FDcETj8SDRgGoGj1mhl-BFKe44tDUuEd6SA=,14.21.630.3012,False,OSAMA BIN LADENN#1212,BLUE,IRON,2,TOP,420,62.5,False,FlickinBean#7355,BLUE,BRONZE,4,JUNGLE,200,41.94,False,AHuân cạm bẫy#4009,BLUE,UNRANKED,0,MID,45,55.77,True,TheJeffExperienc#DLLM,BLUE,BRONZE,3,ADC,22,49.75,False,dankmemesz69#DLLM,BLUE,BRONZE,3,SUPPORT,40,48.57,False,Rahsun#BAD,RED,BRONZE,4,TOP,92,50.56,False,Lilxorge#NA1,RED,BRONZE,3,JUNGLE,20,52.94,True,Arkane#3055,RED,BRONZE,4,MID,75,56.25,False,RichyRich#NA1,RED,IRON,1,ADC,21,60.0,False,NinkiMinjaaj#NA1,RED,UNRANKED,0,SUPPORT,526,50.0,False
CIwPbX19FDeIcjhfkiC1F_5VtfauBhoiItaf3imyyMI=,14.21.630.3012,True,Void Stylz#6969,BLUE,BRONZE,4,TOP,83,52.63,True,a pile of bees#7190,BLUE,BRONZE,4,JUNGLE,876,50.94,False,the PiZZA king#6291,BLUE,BRONZE,4,MID,90,54.01,False,hungrysoil#NA1,BLUE,BRONZE,4,ADC,22,46.34,False,NinkiMinjaaj#NA1,BLUE,UNRANKED,0,SUPPORT,526,50.0,False,KingCannonade#NA1,RED,BRONZE,4,TOP,122,53.85,False,FlickinBean#7355,RED,BRONZE,3,JUNGLE,62,41.94,False,Words Hard#NA1,RED,BRONZE,3,MID,74,50.0,False,quixoticx#NA1,RED,BRONZE,3,ADC,81,52.88,False,thedarktintin#1515,RED,UNRANKED,0,SUPPORT,31,51.56,False
CIwPbX19FDdcs7DHRmIontqUbi_iBd8jq-j348O-PZg=,14.21.630.3012,True,tinicoi#6923,BLUE,UNRANKED,0,TOP,887,65.71,False,Jungleboi#Jung,BLUE,BRONZE,3,JUNGLE,11,50.0,False,antoniomafio10#NA1,BLUE,IRON,1,MID,45,50.0,False,Extra Ryze#tan,BLUE,BRONZE,3,ADC,81,57.85,False,KYDFB5#NA1,BLUE,BRONZE,4,SUPPORT,43,50.0,False,Obabo#NA1,RED,BRONZE,4,TOP,105,53.06,False,Kafka#668,RED,UNRANKED,0,JUNGLE,234,51.82,True,MrErobber#NA1,RED,BRONZE,3,MID,115,55.14,False,xxahmad#NA1,RED,BRONZE,3,ADC,202,48.82,False,NinkiMinjaaj#NA1,RED,UNRANKED,0,SUPPORT,235,50.0,False
CIwPbX19FDdo2rkf7wI3To-ptnxu-rES2sAigBofk7o=,14.21.630.3012,True,T1C0NDER0GA#NA1,BLUE,BRONZE,4,TOP,31,33.33,False,Dua Lipa Fan#42069,BLUE,BRONZE,3,JUNGLE,876,47.37,False,gloom#shou,BLUE,BRONZE,4,MID,84,45.83,False,JosewithanH#2110,BLUE,BRONZE,4,ADC,221,48.82,False,ISSAC#TIME,BLUE,BRONZE,4,SUPPORT,888,46.81,True,NinkiMinjaaj#NA1,RED,UNRANKED,0,TOP,86,50.0,False,Who Feed Zed#bes,RED,BRONZE,4,JUNGLE,59,50.0,False,currrrlyZ#NA1,RED,BRONZE,3,MID,105,50.16,False,TotallyPlatonic#love,RED,SILVER,4,ADC,145,51.23,False,eclipse#aura,RED,BRONZE,4,SUPPORT,497,52.25,False
CIwPbX19FDee7n_cQt9ZyHbmWWoM17MGoAxTxeTdIWc=,14.21.630.3012,False,NinkiMinjaaj#NA1,BLUE,UNRANKED,0,TOP,86,50.0,False,RollSsabu#NA1,BLUE,BRONZE,2,JUNGLE,19,48.97,False,shadesofgrey713#NA1,BLUE,BRONZE,4,MID,131,49.44,False,Dagzo49x#NA49,BLUE,IRON,3,ADC,222,45.24,False,vamki#NA1,BLUE,BRONZE,3,SUPPORT,497,49.69,False,KnoxV3gas#NA1,RED,BRONZE,2,TOP,897,44.37,False,Urahara#420,RED,IRON,1,JUNGLE,876,42.86,False,lIlllIIIIlllllll#NA1,RED,BRONZE,2,MID,157,52.28,False,pug1 ko#ric,RED,IRON,1,ADC,51,49.06,True,LighToFTheHeaveN#NA1,RED,UNRANKED,0,SUPPORT,99,0,False
