Aatrox,TOP,Strong / S,71.33,+9.64,48.21%,95.66%,9.81%,15.15%,1.72,14.1,Iron
Ahri,MID,Good / A,52.27,-11.03,47.40%,93.15%,6.83%,3.16%,2.08,14.1,Iron
Akali,MID,God / S+,78.31,+0.42,48.19%,79.29%,12.02%,23.74%,2.13,14.1,Iron
Akali,TOP,Fair / B,46.78,+9.52,46.56%,19.42%,3.01%,23.74%,1.87,14.1,Iron
Akshan,TOP,Good / A,50.25,+19.71,49.25%,14.17%,0.38%,2.29%,1.73,14.1,Iron
Akshan,MID,Fair / B,48.56,+19.35,49.09%,73.00%,1.76%,2.29%,1.94,14.1,Iron
Akshan,ADC,Bad / D,19.37,+6.91,44.55%,10.84%,0.27%,2.29%,1.84,14.1,Iron
Alistar,SUPPORT,Good / A,57.07,+15.63,49.81%,93.22%,3.13%,1.26%,2.30,14.1,Iron
Amumu,JUNGLE,Good / A,60.68,-6.38,49.29%,82.47%,3.61%,1.48%,2.30,14.1,Iron
Amumu,SUPPORT,Fair / B,44.12,-2.32,48.83%,16.30%,0.60%,1.48%,1.98,14.1,Iron
Anivia,MID,Good / A,52.29,-3.55,48.77%,69.20%,1.34%,0.97%,2.36,14.1,Iron
Anivia,SUPPORT,Bad / D,7.24,-2.13,42.27%,22.53%,0.34%,0.97%,2.11,14.1,Iron
Annie,MID,Fair / B,46.47,+27.43,48.60%,80.59%,1.73%,0.72%,2.01,14.1,Iron
Annie,SUPPORT,Weak / C,33.88,-0.20,47.08%,14.41%,0.32%,0.72%,2.02,14.1,Iron
Aphelios,ADC,Fair / B,47.81,+12.13,48.39%,96.08%,4.66%,1.55%,1.81,14.1,Iron
Ashe,ADC,Good / A,59.82,-13.95,48.23%,75.82%,10.66%,6.27%,2.02,14.1,Iron
Ashe,SUPPORT,Bad / D,23.34,-8.79,44.69%,20.99%,2.92%,6.27%,1.82,14.1,Iron
Aurelion Sol,MID,Good / A,56.19,-24.03,49.56%,85.92%,2.37%,1.28%,2.15,14.1,Iron
Azir,MID,Bad / D,27.90,+24.34,46.18%,91.64%,2.30%,0.68%,1.71,14.1,Iron
Bard,SUPPORT,Good / A,57.26,+21.02,49.17%,95.49%,2.74%,0.72%,2.81,14.1,Iron
Bel'Veth,JUNGLE,Strong / S,61.25,+8.24,50.01%,96.38%,4.24%,5.44%,1.84,14.1,Iron
Blitzcrank,SUPPORT,God / S+,79.34,+13.20,51.08%,98.22%,8.37%,26.69%,2.37,14.1,Iron
Brand,JUNGLE,Strong / S,66.91,-7.20,50.95%,25.10%,2.96%,11.36%,2.12,14.1,Iron
Brand,SUPPORT,Good / A,50.27,-6.76,48.55%,56.01%,5.63%,11.36%,1.73,14.1,Iron
Brand,MID,Fair / B,46.07,+1.39,48.78%,13.87%,1.32%,11.36%,1.95,14.1,Iron
Braum,SUPPORT,Strong / S,62.30,+3.16,50.40%,98.19%,2.25%,0.46%,2.69,14.1,Iron
Briar,JUNGLE,God / S+,82.14,-9.72,51.07%,94.78%,7.72%,22.05%,1.91,14.1,Iron
